date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:50:07	1450/1450	---MCZ	404	error ('Not%20Found')	text/html	etag:1535725046-ssl-df	https://alamin-portfolio.netlify.app/robots.txt		(from )
16:50:07	30638/30638	---MCZ	200	added ('OK')	text/html	etag:%227fa4371dfb1fa1cc6b3ac1382b93ebb0-ssl-df%22	https://alamin-portfolio.netlify.app/	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/index.html	(from )
16:50:08	77749/77749	---MCZ	200	added ('OK')	text/css	etag:%22770e666066fd349fddb282c1c1dfaed0-ssl-df%22	https://alamin-portfolio.netlify.app/css/plugins/animate.css	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/css/plugins/animate.css	(from https://alamin-portfolio.netlify.app/)
16:50:09	27063/27063	---MCZ	200	added ('OK')	text/css	etag:%22c6884ee9b15e2ac5f9ca95b04edce73a-ssl-df%22	https://alamin-portfolio.netlify.app/css/plugins/animated-headlines.css	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/css/plugins/animated-headlines.css	(from https://alamin-portfolio.netlify.app/)
16:50:10	140936/140936	---MCZ	200	added ('OK')	text/css	etag:%22e37f1ef8b61d4ab60f759d4a7f4cdd25-ssl-df%22	https://alamin-portfolio.netlify.app/css/bootstrap.min.css	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/css/bootstrap.min.css	(from https://alamin-portfolio.netlify.app/)
16:50:11	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%22269550530cc127b6aa5a35925a7de6ce%22	https://stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/stackpath.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://alamin-portfolio.netlify.app/)
16:50:12	6951/6951	---MCZ	200	added ('OK')	text/css	etag:%22ebb9a280ce67c82eac7a220ffc9cdb8e-ssl-df%22	https://alamin-portfolio.netlify.app/css/plugins/magnific-popup.css	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/css/plugins/magnific-popup.css	(from https://alamin-portfolio.netlify.app/)
16:50:13	12706/12706	---MCZ	200	added ('OK')	text/css	etag:%228353516b34c36844140ffba8e2f5bdf0-ssl-df%22	https://alamin-portfolio.netlify.app/css/main.css	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/css/main.css	(from https://alamin-portfolio.netlify.app/)
16:50:14	727/727	---M--	200	added ('OK')	image/png	etag:%2264afd724322a81f6dc7abc477a3b6fa1-ssl%22	https://alamin-portfolio.netlify.app/img/logo.png	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/img/logo.png	(from https://alamin-portfolio.netlify.app/)
16:50:15	12081/12081	---MCZ	200	added ('OK')	text/html	etag:%22ebac50b3ade27b9f9246e33b7aaf0f4d-ssl-df%22	https://alamin-portfolio.netlify.app/blog/	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/blog/index.html	(from https://alamin-portfolio.netlify.app/)
16:50:15	9479/9479	---MCZ	200	added ('OK')	text/html	etag:%228305002a5ba8ebf93c67f4a65237915e-ssl-df%22	https://alamin-portfolio.netlify.app/single-post/	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/single-post/index.html	(from https://alamin-portfolio.netlify.app/)
16:50:16	234516/234516	---M--	200	added ('OK')	image/png	etag:%2268835dc0d1002985b6344fe888beffdd-ssl%22	https://alamin-portfolio.netlify.app/img/man.png	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/img/man.png	(from https://alamin-portfolio.netlify.app/)
16:50:16	49045/49045	---M--	200	added ('OK')	image/jpeg	etag:%2201679d2341e59575930a265badf51a5d-ssl%22	https://alamin-portfolio.netlify.app/img/portfolio/1.jpg	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/img/portfolio/1.jpg	(from https://alamin-portfolio.netlify.app/)
16:50:17	31861/31861	---M--	200	added ('OK')	image/jpeg	etag:%22437f131eef4515f6eab6210e99cab0db-ssl%22	https://alamin-portfolio.netlify.app/img/portfolio/2.jpg	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/img/portfolio/2.jpg	(from https://alamin-portfolio.netlify.app/)
16:50:18	21389/21389	---M--	200	added ('OK')	image/jpeg	etag:%22845d0f0378f4649305c3dcec7c78beb4-ssl%22	https://alamin-portfolio.netlify.app/img/portfolio/3.jpg	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/img/portfolio/3.jpg	(from https://alamin-portfolio.netlify.app/)
16:50:20	113869/113869	---M--	200	added ('OK')	image/jpeg	etag:%2216f9463c0920422209b1b930ecb9902b-ssl%22	https://alamin-portfolio.netlify.app/img/portfolio/4.jpg	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/img/portfolio/4.jpg	(from https://alamin-portfolio.netlify.app/)
16:50:20	172197/172197	---M--	200	added ('OK')	image/jpeg	etag:%227546ba0147f7fe227b185a768be3c2d9-ssl%22	https://alamin-portfolio.netlify.app/img/portfolio/5.jpg	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/img/portfolio/5.jpg	(from https://alamin-portfolio.netlify.app/)
16:50:21	68719/68719	---M--	200	added ('OK')	image/jpeg	etag:%227ecbd0b8bff8d7b5b4071ef368b6cf66-ssl%22	https://alamin-portfolio.netlify.app/img/portfolio/6.jpg	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/img/portfolio/6.jpg	(from https://alamin-portfolio.netlify.app/)
16:50:22	15835/15835	---M--	200	added ('OK')	image/png	etag:%22324c78b760045a3c4d3a59999f27706a-ssl%22	https://alamin-portfolio.netlify.app/img/testimonials.png	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/img/testimonials.png	(from https://alamin-portfolio.netlify.app/)
16:50:24	410187/410187	---M--	200	added ('OK')	image/png	etag:%2226dec22f4272ddbbf2477095195150c2-ssl%22	https://alamin-portfolio.netlify.app/img/team-1.png	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/img/team-1.png	(from https://alamin-portfolio.netlify.app/)
16:50:25	190385/190385	---M--	200	added ('OK')	image/png	etag:%22aa47072985832a0ed4a22e3b36707b45-ssl%22	https://alamin-portfolio.netlify.app/img/blog/1.png	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/img/blog/1.png	(from https://alamin-portfolio.netlify.app/)
16:50:25	146208/146208	---M--	200	added ('OK')	image/png	etag:%22384792e9ec83ca98a280a5522eec4d77-ssl%22	https://alamin-portfolio.netlify.app/img/blog/2.png	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/img/blog/2.png	(from https://alamin-portfolio.netlify.app/)
16:50:27	211577/211577	---M--	200	added ('OK')	image/png	etag:%22a7272ac90806ee02b79c8051e6bf372d-ssl%22	https://alamin-portfolio.netlify.app/img/blog/3.png	C:/Users/Dev/Desktop/ki%20hal%20chal%20ay/ki%20hal%20chal%20ay%202/portfolio/alamin-portfolio.netlify.app/img/blog/3.png	(from https://alamin-portfolio.netlify.app/)
